,busname,bustype,depature_time,travel_time,end_time,star_rating,price,seat_available,routename,routelink,seatavilable
0,FRESHBUS,Electric A/C Seater (2+2),23:40,06h 15m,05:55,4.7,449.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
1,FRESHBUS,Electric A/C Seater (2+2),10:25,07h 00m,17:25,4.7,339.0,35.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,35
2,FRESHBUS,Electric A/C Seater (2+2),11:20,06h 55m,18:15,4.7,339.0,27.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,27
3,AdYolo Bus,A/C Seater / Sleeper (2+1),22:46,06h 38m,05:24,4.2,450.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
4,FRESHBUS,Electric A/C Seater (2+2),23:20,06h 25m,05:45,4.6,398.0,23.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,23
5,FRESHBUS,Electric A/C Seater (2+2),22:35,06h 30m,05:05,4.6,449.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
6,FRESHBUS,Electric A/C Seater (2+2),23:59,06h 31m,06:30,4.6,449.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
7,AdIntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06h 10m,06:00,4.1,409.0,33.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,33
8,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06h 25m,05:30,4.5,439.0,33.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,33
9,NueGo,Electric A/C Seater (2+2),08:05,04h 40m,12:45,4.6,383.0,17.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,17
10,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:12,05h 41m,04:53,4.5,749.0,23.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,23
11,Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,06h 15m,05:25,4.4,675.0,16.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,16
12,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06h 55m,06:00,4.4,439.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
13,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,07h 00m,06:00,4.4,383.0,24.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,24
14,Sri KVR Travels,A/C Sleeper (2+1),23:35,05h 50m,05:25,4.5,689.0,29.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,29
15,NueGo,Electric A/C Seater (2+2),21:30,07h 15m,04:45,4.4,383.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
16,NueGo,Electric A/C Seater/Sleeper (2+1),22:00,07h 10m,05:10,4.4,383.0,25.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,25
17,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),08:04,04h 40m,12:44,4.5,250.0,7.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,7
18,NueGo,Electric A/C Seater (2+2),10:00,06h 50m,16:50,4.4,383.0,39.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,39
19,Zingbus Plus,A/C Seater / Sleeper (2+1),22:55,06h 35m,05:30,4.5,394.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
20,FRESHBUS,Electric A/C Seater (2+2),12:10,07h 00m,19:10,4.4,339.0,34.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,34
21,IntrCity SmartBus,AC Sleeper (2+1),23:30,07h 15m,06:45,4.5,659.0,24.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,24
22,NueGo,Electric A/C Seater (2+2),22:30,07h 30m,06:00,4.3,383.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
23,BSR Tours And Travels,A/C Seater / Sleeper (2+1),19:10,07h 20m,02:30,4.6,680.0,21.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,21
24,NueGo,Electric A/C Seater (2+2),16:00,07h 00m,23:00,4.4,383.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
25,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06h 31m,06:30,4.4,589.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
26,IntrCity SmartBus,AC Sleeper (2+1),23:25,06h 40m,06:05,4.4,559.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
27,Yolo Bus,A/C Sleeper (2+1),23:26,06h 38m,06:04,4.5,550.0,25.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,25
28,Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,05h 25m,04:35,4.4,675.0,24.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,24
29,NueGo,Electric A/C Seater (2+2),22:35,07h 05m,05:40,4.4,408.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
30,NueGo,Electric A/C Seater (2+2),22:30,07h 05m,05:35,4.3,383.0,38.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,38
31,NueGo,Electric A/C Seater (2+2),11:30,07h 05m,18:35,4.5,383.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
32,FRESHBUS,Electric A/C Seater (2+2),16:25,07h 25m,23:50,4.7,399.0,38.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,38
33,NueGo,Electric A/C Seater (2+2),13:30,07h 05m,20:35,4.3,383.0,37.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,37
34,Svkdt travels,A/C Sleeper (2+1),23:35,06h 15m,05:50,4.3,689.0,20.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,20
35,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06h 20m,06:05,4.3,349.0,29.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,29
36,NueGo,Electric A/C Seater (2+2),23:15,07h 20m,06:35,4.4,484.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
37,Zingbus Plus,A/C Seater / Sleeper (2+1),23:30,06h 35m,06:05,4.1,394.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
38,NueGo,Electric A/C Seater (2+2),15:00,07h 05m,22:05,4.2,383.0,33.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,33
39,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),00:15,06h 10m,06:25,4.2,479.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
40,NueGo,Electric A/C Seater/Sleeper (2+1),10:30,07h 00m,17:30,4.2,383.0,21.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,21
41,Tirumala Xpress,A/C Sleeper (2+1),23:00,06h 50m,05:50,4.1,495.0,23.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,23
42,Zingbus Plus,A/C Sleeper (2+1),16:10,08h 00m,00:10,4.1,589.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
43,IntrCity SmartBus,AC Sleeper (2+1),22:45,07h 05m,05:50,4.1,569.0,27.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,27
44,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),22:18,05h 47m,04:05,3.8,789.0,22.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,22
45,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),22:21,06h 14m,04:35,3.4,669.0,23.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,23
46,Royal Varma Travels,Non A/C Seater / Sleeper (2+1),22:30,06h 20m,04:50,3.2,450.0,15.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,15
47,BSR Tours And Travels,A/C Seater / Sleeper (2+1),19:10,06h 40m,01:50,3.6,580.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
48,NueGo,Electric A/C Seater (2+2),23:50,07h 05m,06:55,4.1,408.0,34.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,34
49,Svkdt travels,A/C Seater / Sleeper (2+1),23:35,05h 55m,05:30,4.1,489.0,25.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,25
50,NueGo,Electric A/C Seater (2+2),12:00,06h 50m,18:50,4.3,383.0,37.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,37
51,Sri Atluri Travels,Non A/C Seater / Sleeper (2+1),22:18,05h 32m,03:50,3.1,510.0,28.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,28
52,Royal Varma Travels,A/C Sleeper (2+1),22:37,06h 08m,04:45,4.0,810.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
53,Svkdt travels,A/C Sleeper (2+1),23:35,06h 15m,05:50,3.9,589.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
54,Sri Durga Malleswari Travels,A/C Seater / Sleeper (2+1),21:00,07h 40m,04:40,3.9,405.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
55,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),22:51,05h 29m,04:20,4.0,444.0,28.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,28
56,Komali Travels,A/C Seater / Sleeper (2+1),22:10,05h 50m,04:00,3.4,500.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
57,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),23:20,05h 49m,05:09,4.4,450.0,36.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,36
58,BSR Tours And Travels,VE A/C Sleeper (2+1),22:00,06h 10m,04:10,4.5,880.0,17.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,17
59,NueGo,Electric A/C Seater (2+2),22:00,07h 20m,05:20,4.1,484.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
60,NueGo,Electric A/C Seater (2+2),09:30,07h 40m,17:10,4.0,459.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
61,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,06h 30m,05:30,3.8,400.0,39.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,39
62,LVR Travels,Non A/C Seater / Sleeper (2+1),23:37,06h 08m,05:45,3.8,404.0,17.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,17
63,Orange Tours And Travels,A/C Sleeper (2+1),22:25,06h 20m,04:45,3.8,700.0,24.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,24
64,BSR Tours And Travels,A/C Sleeper (2+1),22:00,06h 00m,04:00,5.0,880.0,17.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,17
65,Mahi Trans Solutions,Non A/C Seater / Sleeper (2+1),21:30,07h 00m,04:30,3.8,504.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
66,V Kaveri Travels,A/C Seater / Sleeper (2+1),23:00,05h 15m,04:15,3.8,600.0,20.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,20
67,Komali Travels,Non A/C Seater / Sleeper (2+1),22:25,06h 05m,04:30,4.5,449.0,22.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,22
68,Go Tour Travels and Holidays,A/C Seater / Sleeper (2+1),22:48,05h 27m,04:15,4.4,490.0,27.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,27
69,Anjani Bus,A/C Seater / Sleeper (2+1),22:40,06h 00m,04:40,3.6,499.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
70,SAMANVI CITICONNECT,Non A/C Seater / Sleeper (2+1),21:55,06h 20m,04:15,3.2,610.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
71,LVP Travels,A/C Seater / Sleeper (2+1),22:19,06h 26m,04:45,3.7,537.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
72,Nani Svkdt Travels,A/C Sleeper (2+1),23:20,05h 05m,04:25,3.8,782.0,25.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,25
73,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:55,06h 50m,05:45,3.5,700.0,29.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,29
74,Sai RK Travels,Non A/C Seater / Sleeper (2+1),23:00,05h 35m,04:35,3.9,499.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
75,Sri Venkata Padmavathi Travels,Non A/C Seater / Sleeper (2+1),22:42,07h 18m,06:00,3.8,490.0,39.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,39
76,Holidays Tours and Travels,A/C Seater / Sleeper (2+1),22:30,05h 54m,04:24,4.8,529.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
77,Morning Star Travels,A/C Sleeper (2+1),23:05,06h 15m,05:20,3.7,590.0,18.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,18
78,Nani Svkdt Travels,A/C Sleeper (2+1),23:20,05h 10m,04:30,4.2,782.0,21.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,21
79,IntrCity SmartBus,AC Sleeper (2+1),20:30,07h 00m,03:30,5.0,1229.0,19.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,19
80,Go Bus Travels,Non A/C Seater / Sleeper (2+1),22:47,05h 28m,04:15,4.0,500.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
81,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:55,06h 20m,05:15,3.5,700.0,28.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,28
82,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,06h 45m,05:45,3.1,400.0,34.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,34
83,Tirumala Travels,A/C Sleeper (2+1),22:08,06h 22m,04:30,4.2,494.0,22.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,22
84,Zingbus Plus,A/C Sleeper (2+1),17:30,07h 15m,00:45,4.8,849.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
85,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),18:45,07h 25m,02:10,4.8,619.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
86,Mythri Tours And Travels,A/C Sleeper (2+1),19:15,07h 13m,02:28,4.5,764.0,22.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,22
87,IntrCity SmartBus,A/C Seater / Sleeper (2+1),19:25,07h 35m,03:00,4.4,579.0,29.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,29
88,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:55,06h 50m,05:45,3.1,700.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
89,Sai RK Travels,Non A/C Seater / Sleeper (2+1),22:50,05h 20m,04:10,4.3,560.0,27.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,27
90,Orange Tours And Travels,NON A/C Sleeper (2+1),22:55,06h 50m,05:45,3.5,600.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
91,V Kaveri Travels,A/C Seater / Sleeper (2+1),23:00,06h 10m,05:10,3.7,650.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
92,Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),23:00,05h 50m,04:50,3.5,510.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
93,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),15:20,05h 49m,21:09,3.7,350.0,29.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,29
94,Eswar Travels,A/C Seater / Sleeper (2+1),22:25,06h 05m,04:30,3.6,499.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
95,Yolo Bus,A/C Seater / Sleeper (2+1),22:59,06h 20m,05:19,3.8,620.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
96,Surendra Buses,A/C Sleeper (2+1),22:25,06h 05m,04:30,2.7,538.0,27.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,27
97,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:15,06h 10m,04:25,3.1,400.0,28.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,28
98,LVR Travels,Non A/C Seater / Sleeper (2+1),22:13,06h 42m,04:55,4.4,404.0,13.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,13
99,Mayuri Travels,A/C Sleeper (2+1),22:00,05h 30m,03:30,4.7,890.0,23.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,23
100,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),19:45,08h 10m,03:55,3.7,400.0,19.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,19
101,Go Tour Travels and Holidays,A/C Sleeper (2+1),22:48,05h 27m,04:15,4.2,890.0,18.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,18
102,Sri Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),22:10,06h 20m,04:30,3.9,550.0,39.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,39
103,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),19:45,08h 10m,03:55,3.0,400.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
104,SUNRISE TOUR AND TRAVELS,Non A/C Seater / Sleeper (2+1),22:25,05h 55m,04:20,2.0,449.0,34.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,34
105,KTR TRAVELS,Non A/C Seater / Sleeper (2+1),14:40,07h 50m,22:30,2.0,999.0,14.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,14
106,NAVADISHA TRAVELS,A/C Seater / Sleeper (2+1),22:35,05h 35m,04:10,2.0,640.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
107,Sarayu Travels,A/C Seater / Sleeper (2+1),18:10,05h 30m,23:40,2.0,790.0,40.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,40
108,BSK Anjira Travels,NON A/C Sleeper (2+1),21:15,05h 45m,03:00,2.0,828.0,22.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,22
109,SWASTHIK TOURS AND TRAVELS,A/C Sleeper (2+1),21:00,06h 50m,03:50,2.0,1035.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
110,Samrat Tours and Travels,A/C Sleeper (2+1),22:00,07h 00m,05:00,2.0,1886.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
111,Samrat Tours and Travels,A/C Sleeper (2+1),22:00,07h 10m,05:10,2.0,1799.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
112,KRT Tours and Travels,A/C Seater / Sleeper (2+1),22:15,06h 15m,04:30,2.0,650.0,26.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,26
113,VLR Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:30,02h 00m,00:30,2.0,1380.0,29.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,29
114,SAMANVI CITICONNECT,A/C Sleeper (2+1),19:10,07h 20m,02:30,3.4,729.0,19.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,19
115,Sri Karan Sai Tours and Travels,Non A/C Seater / Sleeper (2+1),21:55,06h 25m,04:20,2.1,499.0,35.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,35
116,REDLINES TOURS AND TRAVELS,A/C Seater / Sleeper (2+1),22:15,06h 45m,05:00,2.0,449.0,35.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,35
117,Sri Hari Tours & Travels,A/C Sleeper (2+1),22:15,06h 30m,04:45,2.0,3799.0,38.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,38
118,SAI SIMHAPURI TRAVELS,A/C Seater (2+2),07:40,04h 40m,12:20,2.0,2000.0,40.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,40
119,Komali Travels,Non A/C Seater / Sleeper (2+1),22:10,05h 50m,04:00,4.1,459.0,25.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,25
120,IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:40,07h 55m,04:35,3.8,449.0,40.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,40
121,Sai Sri Durga Travels,Non A/C Seater / Sleeper (2+1),23:00,06h 20m,05:20,3.2,3000.0,40.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,40
122,V Kaveri Travels,A/C Sleeper (2+1),22:20,06h 10m,04:30,3.8,800.0,22.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,22
123,IntrCity SmartBus,AC Sleeper (2+1),17:15,07h 05m,00:20,4.2,969.0,25.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,25
124,Sitara Travels,NON A/C Push Back (2+2),22:40,05h 20m,04:00,4.1,450.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
125,Yolo Bus,Bharat Benz A/C Sleeper (2+1),19:40,06h 49m,02:29,4.6,1050.0,22.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,22
126,Mythri Tours And Travels,A/C Sleeper (2+1),22:00,06h 05m,04:05,4.7,764.0,15.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,15
127,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),22:22,06h 08m,04:30,3.3,560.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
128,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),22:44,04h 51m,03:35,4.7,2550.0,29.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,29
129,Orange Tours And Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:55,06h 50m,05:45,2.5,600.0,38.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,38
130,LVP Travels,A/C Seater / Sleeper (2+1),21:55,06h 25m,04:20,4.1,537.0,22.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,22
131,BSR Tours And Travels,VE A/C Sleeper (2+1),22:00,06h 20m,04:20,4.3,880.0,18.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,18
132,Sai Virat Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:10,07h 50m,05:00,4.6,775.0,28.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,28
133,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),22:25,06h 05m,04:30,3.7,600.0,20.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,20
134,Mozo travels,A/C Sleeper (2+1),18:21,06h 49m,01:10,4.9,976.0,20.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,20
135,Sri Sai Anjana Tours and Travels,Non A/C Seater / Sleeper (2+1),22:20,06h 05m,04:25,3.9,449.0,34.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,34
136,Sai Srinivasa Travels,A/C Sleeper (2+1),22:35,05h 40m,04:15,3.9,770.0,23.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,23
