,busname,bustype,depature_time,travel_time,end_time,star_rating,price,seat_available,routename,routelink,seatavilable
7014,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,09h 30m,06:30,4.7,1699.0,16.0,Dharamshala (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/dharamshala-to-delhi,16
7015,AdTriptara tour & Travel,Scania Multi-Axle AC Semi Sleeper (2+2),20:38,10h 17m,06:55,4.3,1888.0,5.0,Dharamshala (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/dharamshala-to-delhi,5
7017,HRTC - 1402,Ordinary 3+2 Non AC Seater,13:00,08h 00m,21:00,4.2,409.0,37.0,Jassur to Chandigarh,https://www.redbus.in/bus-tickets/jassur-to-chandigarh,37
7018,HRTC - 1405,Ordinary 3+2 Non AC Seater,14:40,09h 05m,23:45,3.9,488.0,27.0,Jassur to Chandigarh,https://www.redbus.in/bus-tickets/jassur-to-chandigarh,27
7019,HRTC - 1403,Ordinary 3+2 Non AC Seater,15:40,08h 00m,23:40,3.9,403.0,37.0,Jassur to Chandigarh,https://www.redbus.in/bus-tickets/jassur-to-chandigarh,37
7020,HRTC - 1414,Ordinary 3+2 Non AC Seater,16:26,07h 33m,23:59,3.9,409.0,37.0,Jassur to Chandigarh,https://www.redbus.in/bus-tickets/jassur-to-chandigarh,37
7021,HRTC - 1455,A/C Executive (2+3),17:10,06h 45m,23:55,4.3,473.0,39.0,Jassur to Chandigarh,https://www.redbus.in/bus-tickets/jassur-to-chandigarh,39
7022,HRTC - 763,Ordinary 3+2 Non AC Seater,17:10,10h 50m,04:00,4.1,600.0,36.0,Sarkaghat to Delhi,https://www.redbus.in/bus-tickets/sarkaghat-to-delhi,36
7023,HRTC - 1805,Ordinary 3+2 Non AC Seater,18:00,11h 30m,05:30,4.1,615.0,37.0,Sarkaghat to Delhi,https://www.redbus.in/bus-tickets/sarkaghat-to-delhi,37
7024,HRTC - 700,Himsuta AC Seater Volvo/Scania 2+2,18:30,10h 00m,04:30,4.4,1148.0,17.0,Sarkaghat to Delhi,https://www.redbus.in/bus-tickets/sarkaghat-to-delhi,17
7025,HRTC - 750,A/C Executive (2+3),18:40,11h 20m,06:00,3.9,736.0,43.0,Sarkaghat to Delhi,https://www.redbus.in/bus-tickets/sarkaghat-to-delhi,43
7027,HRTC - 710,Himmani Deluxe 2+2 Non AC Seater,19:45,08h 45m,04:30,3.0,545.0,27.0,Kullu to Shimla,https://www.redbus.in/bus-tickets/kullu-to-shimla,27
7028,HRTC - 155,Himsuta AC Seater Volvo/Scania 2+2,22:30,07h 40m,06:10,4.2,818.0,32.0,Kullu to Shimla,https://www.redbus.in/bus-tickets/kullu-to-shimla,32
